,Unnamed: 0,Data,TempMaxima
399,798,1962-02-04,32.6
400,800,1962-02-05,29.6
401,802,1962-02-06,23.7
402,804,1962-02-07,24.0
403,806,1962-02-08,28.7
404,808,1962-02-09,28.9
405,810,1962-02-10,27.7
406,812,1962-02-11,27.1
407,814,1962-02-12,27.1
408,816,1962-02-13,28.3
409,818,1962-02-14,29.1
410,820,1962-02-15,32.7
411,822,1962-02-16,30.1
412,824,1962-02-17,34.2
413,826,1962-02-18,37.7
414,828,1962-02-19,27.3
415,830,1962-02-20,26.7
416,832,1962-02-21,30.1
417,834,1962-02-22,34.9
418,836,1962-02-23,35.4
419,838,1962-02-24,28.9
420,840,1962-02-25,23.5
421,842,1962-02-26,27.2
422,844,1962-02-27,27.1
423,846,1962-02-28,27.6
424,848,1962-03-01,27.2
425,850,1962-03-02,27.5
426,852,1962-03-03,27.8
427,854,1962-03-04,27.3
428,856,1962-03-05,27.6
429,858,1962-03-06,26.7
430,860,1962-03-07,28.8
431,862,1962-03-08,28.3
432,864,1962-03-09,29.9
433,866,1962-03-10,34.2
434,868,1962-03-11,34.9
435,870,1962-03-12,35.0
436,872,1962-03-13,29.2
437,874,1962-03-14,28.7
438,876,1962-03-15,27.6
439,878,1962-03-16,29.1
440,880,1962-03-17,29.4
441,882,1962-03-18,29.3
442,884,1962-03-19,32.6
443,886,1962-03-20,31.6
444,888,1962-03-21,29.4
445,890,1962-03-22,30.5
446,892,1962-03-23,29.1
447,894,1962-03-24,30.3
448,896,1962-03-25,29.9
449,898,1962-03-26,29.1
450,900,1962-03-27,27.7
451,902,1962-03-28,29.8
452,904,1962-03-29,30.4
453,906,1962-03-30,30.4
454,908,1962-03-31,27.5
455,910,1962-04-01,30.5
456,912,1962-04-02,31.4
457,914,1962-04-03,29.3
458,916,1962-04-04,24.5
459,918,1962-04-05,25.7
460,920,1962-04-06,27.0
461,922,1962-04-07,28.2
462,924,1962-04-08,31.8
463,926,1962-04-09,33.9
464,928,1962-04-10,27.8
465,930,1962-04-11,24.1
466,932,1962-04-12,26.7
467,934,1962-04-13,27.1
468,936,1962-04-14,27.3
469,938,1962-04-15,27.1
470,940,1962-04-16,30.2
471,942,1962-04-17,27.3
472,944,1962-04-18,26.5
473,946,1962-04-19,25.1
474,948,1962-04-20,26.2
475,950,1962-04-21,24.9
476,952,1962-04-22,24.5
477,954,1962-04-23,28.4
478,956,1962-04-24,25.4
479,958,1962-04-25,26.8
480,960,1962-04-26,26.5
481,962,1962-04-27,25.7
482,964,1962-04-28,26.1
483,966,1962-04-29,24.0
484,968,1962-04-30,25.6
485,970,1962-05-01,26.6
486,972,1962-05-02,32.3
487,974,1962-05-03,28.7
488,976,1962-05-04,24.0
489,978,1962-05-05,23.4
490,980,1962-05-06,26.1
491,982,1962-05-07,25.2
492,984,1962-05-08,21.4
493,986,1962-05-09,22.2
494,988,1962-05-10,24.1
495,990,1962-05-11,25.2
496,992,1962-05-12,25.5
497,994,1962-05-13,24.2
498,996,1962-05-14,24.3
499,998,1962-05-15,25.7
500,1000,1962-05-16,28.7
501,1002,1962-05-17,31.3
502,1004,1962-05-18,26.6
503,1006,1962-05-19,24.5
504,1008,1962-05-20,26.9
505,1010,1962-05-21,26.7
506,1012,1962-05-22,27.7
507,1014,1962-05-23,30.4
508,1016,1962-05-24,27.0
509,1018,1962-05-25,25.0
510,1020,1962-05-26,23.4
511,1022,1962-05-27,25.6
512,1024,1962-05-28,28.9
513,1026,1962-05-29,23.2
514,1028,1962-05-30,20.1
515,1030,1962-05-31,19.3
516,1032,1962-06-01,23.2
517,1034,1962-06-02,27.2
518,1036,1962-06-03,26.9
519,1038,1962-06-04,23.1
520,1040,1962-06-05,19.8
521,1042,1962-06-06,23.8
522,1044,1962-06-07,25.7
523,1046,1962-06-08,22.7
524,1048,1962-06-09,21.5
525,1050,1962-06-10,23.9
526,1052,1962-06-11,22.6
527,1054,1962-06-12,21.6
528,1056,1962-06-13,21.8
529,1058,1962-06-14,19.7
530,1060,1962-06-15,21.1
531,1062,1962-06-16,19.3
532,1064,1962-06-17,22.2
533,1066,1962-06-18,22.9
534,1068,1962-06-19,23.3
535,1070,1962-06-20,26.6
536,1072,1962-06-21,27.3
537,1074,1962-06-22,25.6
538,1076,1962-06-23,20.8
539,1078,1962-06-24,18.9
540,1080,1962-06-25,22.4
541,1082,1962-06-26,24.5
542,1084,1962-06-27,24.7
543,1086,1962-06-28,25.7
544,1088,1962-06-29,25.6
545,1090,1962-06-30,26.9
546,1092,1962-07-01,26.8
547,1094,1962-07-02,24.7
548,1096,1962-07-03,22.9
549,1098,1962-07-04,23.5
550,1100,1962-07-05,27.9
551,1102,1962-07-06,24.0
552,1104,1962-07-07,22.2
553,1106,1962-07-08,19.8
554,1108,1962-07-09,25.8
555,1110,1962-07-10,28.4
556,1112,1962-07-11,23.6
557,1114,1962-07-12,22.8
558,1116,1962-07-13,22.5
559,1118,1962-07-14,23.4
560,1120,1962-07-15,28.8
561,1122,1962-07-16,29.2
562,1124,1962-07-17,30.1
563,1126,1962-07-18,24.6
564,1128,1962-07-19,22.8
565,1130,1962-07-20,20.0
566,1132,1962-07-21,20.8
567,1134,1962-07-22,22.4
568,1136,1962-07-23,21.7
569,1138,1962-07-24,19.2
570,1140,1962-07-25,21.0
571,1142,1962-07-26,21.9
572,1144,1962-07-27,20.5
573,1146,1962-07-28,19.7
574,1148,1962-07-29,21.4
575,1150,1962-07-30,22.9
576,1152,1962-07-31,24.4
577,1154,1962-08-01,23.5
578,1156,1962-08-02,22.0
579,1158,1962-08-03,23.2
580,1160,1962-08-04,25.7
581,1162,1962-08-05,25.9
582,1164,1962-08-06,27.7
583,1166,1962-08-07,27.5
584,1168,1962-08-08,26.1
585,1170,1962-08-09,26.8
586,1172,1962-08-10,30.4
587,1174,1962-08-11,28.3
588,1176,1962-08-12,25.2
589,1178,1962-08-13,22.5
590,1180,1962-08-14,21.8
591,1182,1962-08-15,24.1
592,1184,1962-08-16,29.6
593,1186,1962-08-17,24.5
594,1188,1962-08-18,24.6
595,1190,1962-08-19,30.1
596,1192,1962-08-20,23.1
597,1194,1962-08-21,25.5
598,1196,1962-08-22,31.2
599,1198,1962-08-23,23.2
600,1200,1962-08-24,21.7
601,1202,1962-08-25,21.2
602,1204,1962-08-26,22.8
603,1206,1962-08-27,28.4
604,1208,1962-08-28,23.8
605,1210,1962-08-29,28.1
606,1212,1962-08-30,26.3
607,1214,1962-08-31,22.9
608,1216,1962-09-01,23.8
609,1218,1962-09-02,25.5
610,1220,1962-09-03,28.6
611,1222,1962-09-04,28.8
612,1224,1962-09-05,32.3
613,1226,1962-09-06,31.4
614,1228,1962-09-07,31.8
615,1230,1962-09-08,35.4
616,1232,1962-09-09,26.0
617,1234,1962-09-10,23.3
618,1236,1962-09-11,30.2
619,1238,1962-09-12,24.1
620,1240,1962-09-13,20.3
621,1242,1962-09-14,20.7
