,Data,TempMaxima
966,1962-04-29,24.0
968,1962-04-30,25.6
970,1962-05-01,26.6
972,1962-05-02,32.3
974,1962-05-03,28.7
976,1962-05-04,24.0
978,1962-05-05,23.4
980,1962-05-06,26.1
982,1962-05-07,25.2
984,1962-05-08,21.4
986,1962-05-09,22.2
988,1962-05-10,24.1
990,1962-05-11,25.2
992,1962-05-12,25.5
994,1962-05-13,24.2
996,1962-05-14,24.3
998,1962-05-15,25.7
1000,1962-05-16,28.7
1002,1962-05-17,31.3
1004,1962-05-18,26.6
1006,1962-05-19,24.5
1008,1962-05-20,26.9
1010,1962-05-21,26.7
1012,1962-05-22,27.7
1014,1962-05-23,30.4
1016,1962-05-24,27.0
1018,1962-05-25,25.0
1020,1962-05-26,23.4
1022,1962-05-27,25.6
1024,1962-05-28,28.9
1026,1962-05-29,23.2
1028,1962-05-30,20.1
1030,1962-05-31,19.3
1032,1962-06-01,23.2
1034,1962-06-02,27.2
1036,1962-06-03,26.9
1038,1962-06-04,23.1
1040,1962-06-05,19.8
1042,1962-06-06,23.8
1044,1962-06-07,25.7
1046,1962-06-08,22.7
1048,1962-06-09,21.5
1050,1962-06-10,23.9
1052,1962-06-11,22.6
1054,1962-06-12,21.6
1056,1962-06-13,21.8
1058,1962-06-14,19.7
1060,1962-06-15,21.1
1062,1962-06-16,19.3
1064,1962-06-17,22.2
1066,1962-06-18,22.9
1068,1962-06-19,23.3
1070,1962-06-20,26.6
1072,1962-06-21,27.3
1074,1962-06-22,25.6
1076,1962-06-23,20.8
1078,1962-06-24,18.9
1080,1962-06-25,22.4
1082,1962-06-26,24.5
1084,1962-06-27,24.7
1086,1962-06-28,25.7
1088,1962-06-29,25.6
1090,1962-06-30,26.9
1092,1962-07-01,26.8
1094,1962-07-02,24.7
1096,1962-07-03,22.9
1098,1962-07-04,23.5
1100,1962-07-05,27.9
1102,1962-07-06,24.0
1104,1962-07-07,22.2
1106,1962-07-08,19.8
1108,1962-07-09,25.8
1110,1962-07-10,28.4
1112,1962-07-11,23.6
1114,1962-07-12,22.8
1116,1962-07-13,22.5
1118,1962-07-14,23.4
1120,1962-07-15,28.8
1122,1962-07-16,29.2
1124,1962-07-17,30.1
1126,1962-07-18,24.6
1128,1962-07-19,22.8
1130,1962-07-20,20.0
1132,1962-07-21,20.8
1134,1962-07-22,22.4
1136,1962-07-23,21.7
1138,1962-07-24,19.2
1140,1962-07-25,21.0
1142,1962-07-26,21.9
1144,1962-07-27,20.5
1146,1962-07-28,19.7
1148,1962-07-29,21.4
1150,1962-07-30,22.9
1152,1962-07-31,24.4
1154,1962-08-01,23.5
1156,1962-08-02,22.0
1158,1962-08-03,23.2
1160,1962-08-04,25.7
1162,1962-08-05,25.9
1164,1962-08-06,27.7
1166,1962-08-07,27.5
1168,1962-08-08,26.1
1170,1962-08-09,26.8
1172,1962-08-10,30.4
1174,1962-08-11,28.3
1176,1962-08-12,25.2
1178,1962-08-13,22.5
1180,1962-08-14,21.8
1182,1962-08-15,24.1
1184,1962-08-16,29.6
1186,1962-08-17,24.5
1188,1962-08-18,24.6
1190,1962-08-19,30.1
1192,1962-08-20,23.1
1194,1962-08-21,25.5
1196,1962-08-22,31.2
1198,1962-08-23,23.2
1200,1962-08-24,21.7
1202,1962-08-25,21.2
1204,1962-08-26,22.8
1206,1962-08-27,28.4
1208,1962-08-28,23.8
1210,1962-08-29,28.1
1212,1962-08-30,26.3
1214,1962-08-31,22.9
1216,1962-09-01,23.8
1218,1962-09-02,25.5
1220,1962-09-03,28.6
1222,1962-09-04,28.8
1224,1962-09-05,32.3
1226,1962-09-06,31.4
1228,1962-09-07,31.8
1230,1962-09-08,35.4
1232,1962-09-09,26.0
1234,1962-09-10,23.3
1236,1962-09-11,30.2
1238,1962-09-12,24.1
1240,1962-09-13,20.3
1242,1962-09-14,20.7
1244,1962-09-15,23.8
1246,1962-09-16,27.7
1248,1962-09-17,29.4
1250,1962-09-18,32.7
1252,1962-09-19,25.3
1254,1962-09-20,24.8
1256,1962-09-21,24.7
1258,1962-09-22,22.2
1260,1962-09-23,19.5
1262,1962-09-24,23.6
1264,1962-09-25,23.8
1266,1962-09-26,23.6
1268,1962-09-27,25.7
1270,1962-09-28,25.3
1272,1962-09-29,23.4
1274,1962-09-30,25.3
1276,1962-10-01,27.1
1278,1962-10-02,25.7
1280,1962-10-03,28.0
1282,1962-10-04,29.6
1284,1962-10-05,27.8
1286,1962-10-06,24.3
1288,1962-10-07,25.1
1290,1962-10-08,32.5
1292,1962-10-09,23.8
1294,1962-10-10,22.3
1296,1962-10-11,21.5
1298,1962-10-12,21.5
1300,1962-10-13,22.8
1302,1962-10-14,21.4
1304,1962-10-15,23.3
1306,1962-10-16,25.5
